2
0,0.722103,0.688517,0,0,0.067172
1,0.178038,0.167792,0.969605,0.000348,0.003843
1
1,0.044137,0.035097,0.998409,0.000076,0.000266
2
0,0.024124,0.024124,0.999418,0.000551,0
1,0.77223,0.635221,0,0,0.012455
1
1,0.707107,0.707107,0,0,0
1
1,0.115315,0.101398,0.988132,0.000608,0.003976
1
1,0.00043,0.00043,1,0.000004,0
1
1,0.000342,0.000342,1,0.000013,0.00006
3
0,0.00692,0.006086,0.999957,0.000026,0.000584
0,0.001257,0.001157,0.999999,0.000006,0.00002
1,0.001214,0.001012,0.999999,0.000018,0.000034
1
1,0.000183,0.000069,1,0.000014,0
1
1,0.00565,0.004035,0.999976,0.000023,0.000179
2
0,0.004063,0.003873,0.999984,0.000008,0.000063
1,0.006711,0.006509,0.999956,0.000018,0
4
0,0.070398,0.061284,0.995634,0.000033,0.001257
1,0.017098,0.014723,0.999744,0.000249,0.001425
0,0.001931,0.001931,0.999996,0.000074,0.001159
0,0.002037,0.002037,0.999996,0.000062,0
2
0,0.017447,0.015993,0.999719,0.000051,0.001454
1,0.107629,0.096299,0.989428,0.000138,0.013218
3
0,0.003125,0.003125,0.99999,0.000113,0
0,0.032319,0.030406,0.999015,0.00004,0.000191
1,0.72334,0.690461,0,0,0.006576
1
1,0.000009,0.000009,1,0.000002,0.000003
1
1,0.007952,0.005301,0.999954,0.000147,0.000663
1
1,0.002441,0.002136,0.999995,0.000033,0.000305
4
0,0.014679,0.013048,0.999802,0.000168,0.003262
0,0.000864,0.000637,0.999999,0.000006,0.000091
1,0.059793,0.056946,0.996549,0.000277,0.008542
0,0.000395,0.000395,1,0.000011,0
10
0,0.000984,0.000738,0.999999,0.000016,0
0,0.784465,0.588348,0,0,0.196116
0,0.018177,0.012118,0.999761,0.000673,0
0,0.021359,0.019223,0.999587,0.000167,0
0,0.000605,0.000302,1,0.00001,0.000302
0,0.004545,0.003306,0.999984,0.000034,0
0,0.001039,0.001039,0.999999,0.000036,0
0,0.012837,0.01141,0.999836,0.000066,0.005705
0,0.000195,0.000195,1,0.00003,0
1,0.034055,0.031217,0.998932,0.000211,0
1
1,0.000021,0.000021,1,0.00001,0
1
